run	cell	gpu_ns	hash_ns	hash_over_gpu	ratio_over_historical	gpu_over_w52_same_machine	original_gate
1	4cycle_N50	772251	2496480	3.232731	0.462738	1.078491	FAIL
1	4cycle_N250	806045	3148360	3.905936	0.744498	0.352077	FAIL
1	4cycle_N1000	1046463	5290453	5.055557	1.829668	0.128384	FAIL
1	4cycle_N2000	1733135	12342709	7.121609	3.158982	0.212320	FAIL
1	5clique_N10	30149532	11938211	0.395967	0.726678	0.962094	FAIL
1	5clique_N25	38659434	12951555	0.335017	0.609343	1.151846	FAIL
1	5clique_N50	39040237	13366544	0.342379	0.629141	1.137814	FAIL
1	5clique_N100	38305342	15674929	0.409210	0.787700	1.091329	FAIL
1	pivot5_N10	39076082	16390392	0.419448	0.766395	1.092408	FAIL
1	pivot5_N20	40456345	17243195	0.426217	0.718505	1.101541	FAIL
1	pivot5_N30	45693379	28348209	0.620401	0.809606	1.205716	FAIL
1	pivot5_N40	46407030	23693105	0.510550	0.587785	1.183036	FAIL
2	4cycle_N50	858031	3096334	3.608651	0.516547	1.198287	FAIL
2	4cycle_N250	810974	3106374	3.830424	0.730105	0.354230	FAIL
2	4cycle_N1000	1339363	6600737	4.928266	1.783600	0.164318	FAIL
2	4cycle_N2000	1789300	13132525	7.339476	3.255623	0.219201	FAIL
2	5clique_N10	37067591	11651840	0.314340	0.576877	1.182855	FAIL
2	5clique_N25	38367418	12062731	0.314400	0.571845	1.143146	FAIL
2	5clique_N50	39177146	12475482	0.318438	0.585148	1.141804	FAIL
2	5clique_N100	38550917	18488948	0.479598	0.923192	1.098325	PASS
2	pivot5_N10	40675499	14505874	0.356624	0.651607	1.137122	FAIL
2	pivot5_N20	40607213	14340531	0.353152	0.595334	1.105649	FAIL
2	pivot5_N30	43187427	17967479	0.416035	0.542914	1.139591	FAIL
2	pivot5_N40	45314739	20074933	0.443011	0.510029	1.155191	FAIL
3	4cycle_N50	818287	2807385	3.430807	0.491090	1.142782	FAIL
3	4cycle_N250	829527	3175900	3.828567	0.729751	0.362334	FAIL
3	4cycle_N1000	1054722	5786257	5.486049	1.985469	0.129397	FAIL
3	4cycle_N2000	1870053	12651116	6.765111	3.000848	0.229094	FAIL
3	5clique_N10	33613233	12374748	0.368151	0.675631	1.072624	FAIL
3	5clique_N25	36105815	12851220	0.355932	0.647385	1.075762	FAIL
3	5clique_N50	35500776	14046400	0.395665	0.727057	1.034658	FAIL
3	5clique_N100	36167712	14678625	0.405849	0.781230	1.030427	FAIL
3	pivot5_N10	37506336	15791555	0.421037	0.769298	1.048525	FAIL
3	pivot5_N20	38808762	16576300	0.427128	0.720040	1.056681	FAIL
3	pivot5_N30	40492033	21073349	0.520432	0.679149	1.068467	FAIL
3	pivot5_N40	42307343	21442473	0.506826	0.583498	1.078524	FAIL
